record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,model_explanation,model_recommendation,latency_seconds,json_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.0,"collector_is_admin: true (user is administrator); defender settings enabled (antivirus, real-time protection); firewall active on all profiles; network profile private with no risky processes or elevated processes detected",network_profile_viewed;network_profile_unchanged,The user accessed network settings and opened common applications like Notepad and VS Code. Endpoint security features are properly configured.,No action needed; the system is secure.,6.01,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,collector_is_admin: true (user is administrator); defender services enabled: true for antivirus and realtime protection; firewall active on all profiles; no risky processes or elevated processes detected,document_activity,"The activity appears normal as the user opened code.exe, which is a common development tool. Endpoint security features are properly configured.",No action needed; continue monitoring for unusual behavior.,5.927,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,"collector_is_admin: true (user is administrator); defender_config_changed: false (no changes to security settings); firewall enabled for all profiles (Domain, Private, Public): true; network_profile: private (safe environment); benign_background_processes include notepad.exe (common and safe); command_activity in verified activity context is none (no suspicious commands)",authorised_usb;no_file_execution,"The observed activities on this Windows device appear normal. The user has administrator privileges, but no changes to security configurations were detected. Defender remains enabled with realtime protection, and the firewall is active across all profiles.",No immediate action required; continue monitoring for unusual behavior.,7.052,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,scheduled_task_change: true with a created action; source of change is manual_review which may indicate intentional but risky setup,scheduled_task_created,"A scheduled task was manually reviewed and created, potentially allowing for automated actions or persistence on the endpoint.",Investigate the purpose of the new task and consider disabling it if unnecessary.,7.257,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,abnormal,normal,FALSE,FP,,high,low,FALSE,0.0,"Defender not enabled (antivirus, anti-malware); No security events detected in the last hour; Multiple applications opened including code.exe and winword.exe",normal_app_activity,"The device lacks endpoint protection services like Windows Defender, making it vulnerable to malware. Additionally, multiple potentially risky applications were observed being executed.",Enable Windows Defender Antivirus and Anti-malware features immediately.,5.888,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,"collector_is_admin: true (user is administrator); defender services enabled and not disabled or changed; firewall active on all profiles; network profile private with no risky network context; running monitored processes are common shells like powershell.exe, python.exe which are often used for development/automation",settings_viewed;no_security_change,The activity appears normal as the user is an administrator running code.exe in a controlled environment. Defender and firewall protections are active.,No action needed; continue monitoring.,6.371,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.0,File downloaded without antivirus enabled or monitoring.; Scheduled task change with no documented review.,file_download;scheduled_task_created,"A file was downloaded on a system where endpoint security features like Defender are disabled, and there is evidence of scheduled task changes which could be used for persistence. These actions increase the risk level as they may lead to malware installation or unauthorized background processes.",Enable Windows Security (Defender) immediately and review all recent downloads and scheduled tasks.,5.854,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,"code.exe is listed as a benign background process and not in risky processes list.; No elevated processes, no failed login attempts, no firewall events or defender events.",authorised_usb;usb_files_viewed,"The user opened code.exe which appears to be a legitimate application. There were no signs of suspicious activity such as malware execution, unauthorized access attempts, or network anomalies detected during this session.",No action needed; continue monitoring for unusual behavior.,5.906,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell.exe is listed as a risky process in the event summary.; The PowerShell process was initiated recently (start_time: '2026-07-10T13:12:22.283597').,private_network;browser_activity,"A recent execution of powershell.exe, which is flagged as a risky process, suggests potential malicious activity.",Investigate the PowerShell command history for any suspicious commands.,6.114,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,collector_is_admin: true (user is administrator); defender services enabled and not disabled or changed; firewall active on all profiles; no risky processes detected; no failed login attempts; no file downloads or removable drives connected; network profile private,normal_app_activity,"The activity appears normal as the user is running common applications like Microsoft Edge, Excel, and Teams while Defender services are enabled. There's no evidence of risky processes or elevated privileges.",No action needed; continue monitoring for unusual behavior.,6.593,TRUE,
R011,PROC_005,PROC,PowerShell used to list local processes,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,"powershell.exe is being run with unknown elevation status.; windowsterminal.exe was executed, which is listed in risky_processes.",powershell_activity;process_enumeration,"The execution of powershell.exe and windowsterminal.exe, both marked as risky processes, indicates potential for unauthorized system changes or data exfiltration. The lack of clear Defender configuration adds to the risk.",Investigate the command history in PowerShell and check Windows Terminal logs.,6.197,TRUE,
R012,SEC_003,SEC,Firewall settings viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,"Collector_is_admin is true, but no risky processes detected.; Defender services are enabled and running properly.; Firewall is active on all profiles including private.; No elevated processes or suspicious activities reported.",settings_viewed;no_security_change,"The activity observed appears to be normal as there were no signs of malicious behavior. Defender services are enabled, and the device is in a private network profile with firewall protection active.",Monitor for any unusual changes but no immediate action required.,6.11,TRUE,
R013,SEC_015,SEC,Windows Security opened and viewed without making changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,collector_is_admin: true (user is administrator); defender services enabled and not changed or disabled; firewall active on all profiles; no risky processes detected; no failed login attempts; no network profile change to public; no removable drives connected,settings_viewed,The activity appears normal as the user is an administrator with security tools enabled and no suspicious actions or changes were observed.,No action needed; continue monitoring for unusual behavior.,6.021,TRUE,
