record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.5,network_profile_viewed; settings_viewed,network_profile_viewed;network_profile_unchanged,NET_003; NET_001; NORMAL_003,20; 19; 17,"The user only viewed network settings on a private profile with no changes or scans, which is benign.",No action required.,29.805,0,TRUE,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is connected to a private network and shows no signs of scanning, failed logins, or suspicious processes.",Continue normal monitoring,12.003,0,TRUE,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,usb_connected; private_network,authorised_usb;no_file_execution,NET_001; NORMAL_003; USB_001,16; 16; 10,"The device was connected to a USB drive on a private network, but no files were accessed or executed and no other suspicious activity occurred.",No action needed; continue normal monitoring.,17.096,0,TRUE,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,high,high,TRUE,1.0,scheduled_task_created; no_sanctioned_explanation,scheduled_task_created,PERSIST_002; SEC_003; PERSIST_003,24; 18; 17,"A new scheduled task was created with no supporting benign context, a common persistence technique that is considered risky.",Investigate the task details and verify its legitimacy; remove or disable it if not needed.,16.681,0,TRUE,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,abnormal,normal,FALSE,FP,,critical,low,FALSE,0.0,defender_disabled; firewall_disabled,normal_app_activity,SEC_003; SEC_004; AUTH_005,18; 14; 11,"Defender real‑time protection and all firewall profiles are disabled, eliminating core security controls.",Reenable Microsoft Defender and the Windows Firewall immediately.,20.691,0,TRUE,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,settings_viewed;no_security_change,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is connected to a private network and shows no scanning, failed logins, or other suspicious activity.",Continue normal monitoring,9.546,0,TRUE,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,critical,critical,TRUE,0.0,defender_disabled; scheduled_task_change,file_download;scheduled_task_created,SEC_003; PERSIST_002; SEC_004,17; 16; 14,"Defender real‑time protection is disabled while a scheduled task was created without clear justification, indicating potential persistence abuse.","Re‑enable Defender immediately and verify the legitimacy of the scheduled task; if legitimate, document it in an approved change log.",28.369,0,TRUE,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; benign_application_use; no_usb_file_access,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,"The device is on a private network, only normal apps were opened and no USB files were accessed or executed.",No action required,21.28,0,TRUE,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; powershell_running,private_network;browser_activity,NET_001; NORMAL_003; NORMAL_001,17; 17; 11,"PowerShell is running on a private network but there are no signs of malicious commands, downloads, or other risky activity.",No action needed; continue normal monitoring.,24.719,0,TRUE,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,normal_app_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is connected to a private network, has standard applications running, and no suspicious or risky activity was detected.",Continue normal monitoring,10.571,0,TRUE,TRUE,
