scenario_id,category,scenario_name,ground_truth_class,ground_truth_risk,expected_indicators,label_reason,scenario_source,evaluation_status,evidence_basis
AUTH_001,AUTH,One failed login attempt followed by normal use,normal,low,failed_login;successful_login,"One mistyped credential followed by a successful login is consistent with an ordinary user error, not password guessing.",collected,ready,structured_summary
AUTH_002,AUTH,Two failed login attempts followed by normal use,normal,low,repeated_failed_logins;successful_login,Two failed attempts followed by successful normal use are still plausible human error because the failures are limited and stop immediately.,collected,ready,structured_summary
AUTH_003,AUTH,Failed login activity on private network,normal,low,failed_login;private_network,"An isolated login failure on a private network is low risk without repetition, unusual source activity, or another suspicious signal.",collected,ready,structured_summary
AUTH_004,AUTH,Minor authentication mistake during normal session,normal,low,failed_login;successful_login;normal_app_activity,A single authentication mistake followed by routine application use is labelled normal because there is no sustained failure pattern.,collected,ready,structured_summary
AUTH_005,AUTH,Multiple failed login attempts,abnormal,medium,repeated_failed_logins,"Several failed logins exceed a typical single mistake and may indicate password guessing, so the activity is treated as abnormal at medium risk.",collected,ready,structured_summary
AUTH_006,AUTH,Repeated failed login attempts in short time,abnormal,medium,repeated_failed_logins,Failures repeated rapidly within a short period form a stronger authentication anomaly than ordinary mistyping.,collected,ready,structured_summary
AUTH_007,AUTH,High number of failed login attempts,abnormal,high,high_failed_login_count,A high number of failed logins is unlikely to be a simple typing mistake and is consistent with brute-force or password-guessing behaviour.,collected,ready,structured_summary
AUTH_008,AUTH,Repeated failed logins followed by successful normal use,abnormal,high,repeated_failed_logins;successful_login,Repeated failures remain abnormal even though a later login succeeds; the successful login does not explain the preceding pattern.,collected,ready,structured_summary
AUTH_009,AUTH,Failed login activity while PowerShell is open,abnormal,high,failed_login;powershell_activity,Failed logins combined with an open PowerShell session create a stronger multi-signal anomaly than either event alone.,collected,ready,structured_summary
AUTH_010,AUTH,Failed login activity while CMD is open,abnormal,high,failed_login;cmd_activity,The combination of repeated login failures and command-line activity may indicate interactive probing or misuse.,collected,ready,structured_summary
AUTH_011,AUTH,Failed login activity while connected to public network,abnormal,high,failed_login;public_network,This scenario is intended to represent failed authentication activity on a public network. It should remain high risk only when both signals are present in the scenario input.,collected,ready,structured_summary_plus_operator_note
AUTH_012,AUTH,High failed login count in a short time window,abnormal,high,high_failed_login_count;rapid_activity_window,A concentrated burst of failed logins is high risk because it is more consistent with password guessing than an isolated user mistake. The numeric evidence must be present before evaluation.,collected,ready,structured_summary_plus_operator_note
AUTH_013,AUTH,Failed login activity combined with USB activity,abnormal,high,failed_login;usb_connected,"Failed logins followed by removable-media activity combine authentication and device-use anomalies, increasing the likelihood of misuse.",collected,ready,structured_summary
AUTH_014,AUTH,Failed login activity combined with suspicious process activity,abnormal,critical,failed_login;suspicious_command_pattern,Authentication failures combined with suspicious process activity create a multi-stage pattern consistent with attempted access followed by endpoint interaction.,collected,ready,structured_summary
AUTH_015,AUTH,Successful login with no failed attempts,normal,low,successful_login,A successful login with no preceding failures is the expected authentication baseline.,collected,ready,structured_summary
AUTH_016,AUTH,Normal lock and unlock using correct PIN or password,normal,low,screen_lock_activity;successful_login,Locking and unlocking the screen with the correct credential is routine session management.,collected,ready,structured_summary
AUTH_017,AUTH,Normal session after successful login with no authentication errors,normal,low,successful_login;normal_app_activity,A successful login followed by ordinary application use contains no authentication anomaly.,collected,ready,structured_summary
NET_001,NET,Private network normal work session,normal,low,private_network;normal_network_activity,Routine work on a private network is the expected low-risk network baseline.,collected,ready,structured_summary
NET_002,NET,Public network normal browsing session,normal,low,public_network;browser_activity,"Normal browsing on a public profile is treated as low risk here because no scanning, download, or security-control change occurs.",collected,ready,structured_summary
NET_003,NET,Network profile checked without changes,normal,low,network_profile_viewed;settings_viewed,Checking the current network profile is read-only and does not expose or alter the endpoint by itself.,collected,ready,structured_summary
NET_004,NET,Wi-Fi or network settings viewed without changes,normal,low,network_profile_viewed;settings_viewed,Viewing Wi-Fi or network settings without applying changes is normal configuration inspection.,collected,ready,structured_summary
NET_005,NET,Public network profile detected,normal,low,public_network;no_additional_risky_activity,"A public network profile is an exposure context, not abnormal behaviour by itself. With no failed logins, scanning, downloads, or disabled protection, the scenario is normal and low risk.",collected,ready,structured_network_profile
NET_006,NET,Public network activity with controlled browser download,abnormal,medium,public_network;file_download,Downloading a file while connected through a public profile combines exposure with inbound content and warrants a medium-risk abnormal label.,collected,ready,structured_summary
NET_007,NET,Public network activity while PowerShell is open,abnormal,high,public_network;powershell_activity,"PowerShell activity on a public network combines increased network exposure with command-line capability, raising the overall risk.",collected,ready,structured_summary
NET_008,NET,Public network activity combined with failed login activity,abnormal,high,public_network;failed_login,"The combination of a public network and failed authentication activity is high risk, but the failed-login signal must be present in the model input before this scenario is evaluated.",collected,ready,structured_summary_plus_operator_note
NET_009,NET,Network scanner opened or version checked,abnormal,medium,network_scanner_activity,"Checking a scanner version is reconnaissance-tool activity but does not perform a scan, so medium risk is appropriate once the scanner command is visible in the input.",collected,ready,structured_summary_plus_operator_note
NET_010,NET,Network scan run against local authorised test target,abnormal,high,network_scan;authorised_local_target,"Executing a network scan is more consequential than opening the tool, so high risk is appropriate once the scan command and target are present in the input.",collected,ready,structured_summary_plus_operator_note
NET_011,NET,Network scanning tool opened during endpoint session,abnormal,medium,network_scanner_activity,"Starting a network-scanning tool is abnormal reconnaissance activity, although the absence of an actual scan keeps the severity below critical.",augmented,ready,structured_summary
NET_012,NET,Network scanner activity while on public network profile,abnormal,high,public_network;network_scanner_activity,"Scanner activity on a public network creates both reconnaissance and exposure concerns, producing a high-risk combination.",augmented,ready,structured_summary
NET_013,NET,Public network profile combined with Defender disabled,abnormal,critical,public_network;defender_disabled,A public network profile combined with disabled Defender leaves the endpoint more exposed to untrusted network content and reduces local protection.,augmented,ready,structured_summary
NET_014,NET,Public network profile combined with failed logins and scanner activity,abnormal,critical,public_network;failed_login;network_scanner_activity,"Public-network exposure, failed logins, and scanner activity form a multi-signal sequence consistent with active reconnaissance or attempted compromise.",augmented,ready,structured_summary
NET_015,NET,Private network used for normal browsing activity,normal,low,private_network;browser_activity,Routine browsing on a private network represents the expected low-risk network state.,collected,ready,structured_summary
NET_016,NET,Network settings viewed without changing network profile,normal,low,network_profile_viewed;network_profile_unchanged,Viewing network settings without changing the profile or adapter configuration is benign.,collected,ready,structured_summary
NET_017,NET,Normal browsing on private network with no downloads or scanning,normal,low,private_network;browser_activity,Normal browsing on a private network without downloads or scanning provides a clean network baseline.,collected,ready,structured_summary
NORMAL_001,NORMAL,Normal Word document activity,normal,low,document_activity,"Editing a Word document is routine user activity and does not alter authentication, security controls, or system persistence.",collected,ready,structured_summary
NORMAL_002,NORMAL,Normal browser activity,normal,low,browser_activity,"Ordinary web browsing is expected endpoint behaviour when it is not accompanied by a risky download, suspicious process, or security change.",collected,ready,structured_summary
NORMAL_003,NORMAL,Normal VS Code activity,normal,low,development_activity,Using Visual Studio Code for development is a legitimate work activity; no security-relevant action is intended in this scenario.,collected,ready,structured_summary
NORMAL_004,NORMAL,Normal Teams activity,normal,low,communication_app_activity;normal_app_activity,Opening Microsoft Teams for communication is normal productivity activity and provides no evidence of endpoint misuse.,collected,ready,structured_summary
NORMAL_005,NORMAL,Normal file browsing in Documents,normal,low,file_browsing,Browsing files in the Documents folder is standard user behaviour when no protected files are altered and no executable is launched.,collected,ready,structured_summary
NORMAL_006,NORMAL,Normal PDF or document viewing,normal,low,document_activity,"Viewing a PDF or document is a passive, low-risk action with no expected effect on the endpoint security state.",collected,ready,structured_summary
NORMAL_007,NORMAL,Normal browser research with multiple tabs,normal,low,browser_activity,"Researching through several browser tabs remains normal activity because the scenario contains no download, execution, or configuration change.",collected,ready,structured_summary
NORMAL_008,NORMAL,Normal Notepad text editing,normal,low,document_activity,Typing or editing text in Notepad is benign and does not introduce a security-relevant change.,collected,ready,structured_summary
