record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,model_explanation,model_recommendation,latency_seconds,json_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.0,"running monitored processes: powershell.exe, python.exe; benign background processes: code.exe, notepad.exe, powershell.exe (vscode shell integration)",network_profile_viewed;network_profile_unchanged,"The user has opened Notepad and Code, which are common applications. The running processes are also legitimate.",No action required.,5.144,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,"running of cmd.exe, powershell.exe, and python.exe; opening of code.exe",document_activity,"The presence of command-line interfaces and scripting languages, along with the opening of a specific application, may indicate user activity that requires closer examination.",Verify user intentions and monitor system behavior for potential security risks.,5.136,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,running common processes; no suspicious network activity,authorised_usb;no_file_execution,"The user opened Notepad and ran some common processes, but there is no indication of malicious activity.",Monitor the system for any unusual behavior.,4.905,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,scheduled task creation,scheduled_task_created,"A scheduled task was created, which could be a sign of malicious activity. The lack of antivirus and real-time protection also increases the risk.",Verify the purpose of the new task and ensure that antivirus and real-time protection are enabled.,4.951,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,normal,normal,TRUE,TN,,low,low,TRUE,0.0,multiple benign applications opened,normal_app_activity,"The user has opened several common productivity and browsing applications, which is a normal activity.",No action required. Monitor for any unusual behavior.,4.562,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell.exe and python.exe running monitored processes; code.exe opened and benign background process,settings_viewed;no_security_change,"The presence of PowerShell and Python, along with an unknown code executable, may indicate potential scripting or development activity. This could be legitimate, but it's worth monitoring.",Monitor the system for any suspicious behavior and review the running processes regularly.,5.427,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.5,file_downloaded; scheduled_task_change,file_download;scheduled_task_created,"A file was downloaded and a scheduled task was changed, which may indicate user activity or potential malware installation.",Verify the legitimacy of the downloaded file and review the scheduled task changes.,4.843,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell.exe and python.exe running in monitored processes; code.exe opened as an app and background process,authorised_usb;usb_files_viewed,"The presence of PowerShell and Python, along with the code editor, may indicate potential scripting or development activity. This could be legitimate, but it's worth monitoring.",Verify user intentions and monitor for any suspicious behavior.,5.103,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell.exe running with unknown elevation status,private_network;browser_activity,"The presence of powershell.exe in the list of risky processes may indicate potential malicious activity. However, since it's also used for legitimate purposes, further investigation is needed.",Monitor the process and review logs for any suspicious behavior,5.241,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,"running multiple command-line processes (cmd.exe, powershell.exe, python.exe); multiple applications opened (code.exe, steamwebhelper.exe, ms-teams.exe, epicgameslauncher.exe, msedge.exe, excel.exe)",normal_app_activity,"The user has been running multiple command-line processes and opening various applications, which could indicate potential malicious activity.",Monitor the system for further suspicious activity and consider implementing additional security measures.,5.595,TRUE,
