document_id,category,title,filename,document_type,benign,abnormal,indicator_tokens,active_for_retrieval
AUTH_001,AUTH,Normal Login and Unlock Activity,AUTH/AUTH_001_normal_login_and_unlock_activity.md,benign baseline guidance,True,False,successful_login|screen_lock_activity|no_additional_risky_activity,True
AUTH_002,AUTH,Isolated Failed Login,AUTH/AUTH_002_isolated_failed_login.md,contrastive diagnostic guidance,True,False,failed_login|successful_login|no_additional_risky_activity,True
AUTH_003,AUTH,Repeated Failed Logins,AUTH/AUTH_003_repeated_failed_logins.md,contrastive diagnostic guidance,False,True,repeated_failed_logins|rapid_activity_window|public_network|successful_login,True
AUTH_004,AUTH,High-Frequency Failed Logins,AUTH/AUTH_004_high_frequency_failed_logins.md,abnormal single-signal guidance,False,True,high_failed_login_count|repeated_failed_logins|rapid_activity_window|public_network,True
AUTH_005,AUTH,Failed Logins With Additional Risk Context,AUTH/AUTH_005_failed_logins_with_additional_risk_context.md,compound-risk guidance,False,True,repeated_failed_logins|high_failed_login_count|public_network|network_scan|defender_disabled|rapid_activity_window,True
NET_001,NET,Normal Private Network Use,NET/NET_001_normal_private_network_use.md,benign baseline guidance,True,False,private_network|normal_network_activity|no_additional_risky_activity,True
NET_002,NET,Public Network Without Additional Risk,NET/NET_002_public_network_without_additional_risk.md,contrastive diagnostic guidance,True,False,public_network|normal_network_activity|no_additional_risky_activity,True
NET_003,NET,Network Settings Viewed Only,NET/NET_003_network_settings_viewed_only.md,benign baseline guidance,True,False,network_profile_viewed|network_profile_unchanged|settings_viewed|no_additional_risky_activity,True
NET_004,NET,Network Scanner Version Check Versus Active Scan,NET/NET_004_network_scanner_version_check_versus_active_scan.md,contrastive diagnostic guidance,False,True,network_scanner_activity|network_scan|authorised_local_target|no_additional_risky_activity,True
NET_005,NET,Authorised Scan and Compound Network Risk,NET/NET_005_authorised_scan_and_compound_network_risk.md,compound-risk guidance,False,True,network_scan|authorised_local_target|public_network|repeated_failed_logins|high_failed_login_count|defender_disabled,True
