model,condition,record_id,scenario_id,category,ground_truth_class,ground_truth_risk,scenario_source,repetitions,classification_mode,classification_mode_count,classification_agreement_rate,number_of_unique_classifications,classification_entropy,all_repetitions_classification_identical,risk_mode,risk_mode_count,risk_agreement_rate,number_of_unique_risk_levels,risk_entropy,all_repetitions_risk_identical,mean_pairwise_indicator_jaccard,minimum_pairwise_indicator_jaccard,maximum_pairwise_indicator_jaccard,indicator_union_size,indicator_intersection_size,all_repetitions_indicator_sets_identical,mean_pairwise_explanation_similarity,minimum_pairwise_explanation_similarity,json_parse_validity_rate,required_fields_validity_rate,classification_validity_rate,risk_level_validity_rate,indicator_list_validity_rate,strict_schema_validity_rate,first_attempt_strict_schema_success_rate,retry_rate,timeout_rate,empty_response_rate,indicator_vocabulary_compliance_rate,canonical_indicator_count,out_of_vocabulary_indicator_count,mean_out_of_vocabulary_indicators_per_response,unique_out_of_vocabulary_indicators,mean_latency,median_latency,standard_deviation_latency,minimum_latency,maximum_latency,latency_coefficient_of_variation,classification_accuracy_across_repetitions,risk_accuracy_across_repetitions,mean_ground_truth_indicator_precision,mean_ground_truth_indicator_recall,mean_ground_truth_indicator_f1
deepseek-r1:8b,baseline,R002,NORMAL_008,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,0.8,0.5,1.0,6,3,False,0.7333,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.8,4.8,"collector_is_admin: true (user is administrator); defender services enabled: true for antivirus and realtime protection; firewall active on all profiles; network profile private with no risky network events; no risky processes or elevated processes detected; running processes include code.exe, which might be a legitimate ide or editor",7.132,6.05,2.255,5.896,11.64,0.3161,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R005,NORMAL_014,NORMAL,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,3,3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3,3,"defender not enabled (antivirus, anti-malware); multiple applications opened including code.exe and winword.exe; no security events detected in the last hour",5.485,5.445,0.111,5.4,5.699,0.0202,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R006,SEC_017,SEC,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,0.8,0.5,1.0,10,5,False,0.6744,0.186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,8.4,8.4,"apps_opened: code.exe (likely a code editor) - benign in this context; benign_background_processes include code.exe - consistent with user activity.; code.exe opened - likely a code editor/ide that is commonly used by developers and not inherently suspicious in this context.; collector_is_admin: true (user is administrator); defender services enabled and not disabled or changed; firewall active on all profiles; network profile private with no risky network context; no failed login attempts, no elevated processes, no service changes, etc.; no risky processes running or detected; running monitored processes are common tools like powershell.exe, python.exe which can be used for legitimate development tasks.",7.627,7.782,0.313,7.0,7.794,0.0411,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R011,PROC_005,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"powershell.exe is being run with unknown elevation status.; windowsterminal.exe was executed, which is listed in risky_processes.",5.753,5.574,0.266,5.55,6.242,0.0463,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R018,SEC_005,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.925,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender disabled on the device.; realtime protection is off in multiple status snapshots.,5.406,5.334,0.145,5.244,5.591,0.0268,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R028,AUTH_005,AUTH,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.9333,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"elevated_processes: empty but no admin processes detected during login attempt; elevated_processes: empty but no risky processes detected, however the context shows suspicious activity; failed_login_activity: true with high count band and multiple failed logins (6)",5.388,5.413,0.096,5.205,5.489,0.0179,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R029,USB_007,USB,abnormal,medium,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.9333,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender is enabled and active in all profiles.; no risky processes or elevated processes detected.,5.42,5.424,0.109,5.271,5.606,0.0201,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R046,NET_005,NET,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,0.6,0.0,1.0,4,0,False,0.6923,0.2308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"code.exe is listed as a benign background process but was also opened by the user.; code.exe is listed as a benign background process, but no security software is active on the device.; no network protection or firewall activity detected.; no security software (defender) running or enabled on the device.",5.51,5.486,0.205,5.321,5.886,0.0372,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R050,AUTH_003,AUTH,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,failed_login_activity: true with multiple failed logins (2); failed_login_count_band: 'multiple',5.129,5.008,0.184,4.967,5.444,0.0359,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R051,SEC_010,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,0.7,0.25,1.0,4,1,False,0.8171,0.5429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2.8,2.8,"defender_disabled: true; firewall_events: [] (empty); powershell.exe and windowsterminal.exe are listed in risky_processes; verified_activity_context.suspicious_process_context: false, but risky_processes detected with powershell.exe and windowsterminal.exe",5.875,5.842,0.112,5.729,6.009,0.0191,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R060,NET_012,NET,abnormal,high,augmented,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.9579,0.8947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,no security software running on the endpoint (defender disabled).; presence of risky process 'nmap.exe' which is a network scanning tool.,5.408,5.4,0.151,5.181,5.659,0.028,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R067,AUTH_009,AUTH,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.78,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"failed_login_activity: true with multiple failed logins (3); powershell.exe process detected without elevation status, which can be risky for executing scripts or commands; powershell.exe process detected, which is often used for advanced scripting and potentially malicious activities",5.527,5.38,0.211,5.355,5.901,0.0382,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R079,USB_017,USB,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,5,5,True,0.8133,0.5333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,5,5,"benign_background_processes include code.exe and notepad.exe with explanation that they are part of vscode shell integration; collector_is_admin: true (user is administrator); defender_config_changed: false (no changes to security settings); firewall enabled for all profiles (domain, private, public): true; network_profile: private (lower risk than public)",6.595,6.532,0.19,6.367,6.926,0.0288,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R086,PROC_016,PROC,normal,low,collected,5,INVALID_CLASSIFICATION,5,1.0,1,-0.0,True,INVALID_RISK,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,indicator_1; indicator_2,4.681,4.658,0.278,4.409,5.173,0.0594,0.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R095,PERSIST_006,PERSIST,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.6625,0.1562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"benign_background_processes include code.exe which is not typically listed as benign, but in this context it's the same name as a risky process? note: the data shows 'code.exe' in both apps_opened and benign_background_processes. however, note that the event_summary also lists risky_processes as empty.; benign_background_processes include code.exe which is not typically listed as benign, but in this context it's unclear if the user intended to run it; scheduled_task_change: true with manual_review source",5.854,5.625,0.428,5.515,6.673,0.0732,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R098,PROC_006,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.713,0.2826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,"cmd.exe is being run from system32 directory, which may indicate a command injection or malware execution.; cmd.exe is being run from system32 directory, which may indicate a compromised process or malware.; windowsterminal.exe is listed as risky and was executed with elevated privileges.",6.019,5.948,0.158,5.846,6.298,0.0262,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R099,PERSIST_017,PERSIST,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,4,4,True,0.6778,0.1944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4,4,"defender_enabled_indicators: antivirus, realtime protection, firewall all enabled.; network_profile_is_private_and_defender_config_not_changed.; no_elevated_processes_or_services_detected.; no_failed_login_attempts.",5.967,5.994,0.067,5.834,6.011,0.0112,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R105,PERSIST_014,PERSIST,abnormal,critical,augmented,5,abnormal,5,1.0,1,-0.0,True,high,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.8154,0.5385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe in risky_processes list; service_change: true with manual_review required,5.397,5.393,0.033,5.344,5.448,0.0062,1.0,0.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R113,NORMAL_016,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,5,5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,5,5,"benign_background_processes include common tools like notepad and powershell; collector_is_admin: true (user is administrator); defender_config_changed: false (no changes to security settings); firewall enabled for all profiles (domain, private, public): true; network_profile: private (safe network context)",6.59,6.602,0.197,6.262,6.882,0.0299,1.0,1.0,0.0,0.0,0.0
deepseek-r1:8b,baseline,R114,NORMAL_006,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,0.6,0.0,1.0,12,0,False,0.6667,0.1667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,5.4,5.4,"collector_is_admin: true (but no admin actions detected); collector_is_admin: true (user is administrator); defender services enabled and not changed or disabled; defender_config_changed: false (no changes to security settings); firewall active on all profiles; firewall enabled for all profiles (domain, private, public): true; network profile is private; network_profile: private (lower risk environment); no failed login attempts; no file downloads or usb activity; no risky processes running or opened; running_monitored_processes include cmd.exe and powershell.exe (common command-line tools)",6.236,6.196,0.169,5.964,6.423,0.0271,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R002,NORMAL_008,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,12.314,9.909,4.894,9.771,22.101,0.3974,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R005,NORMAL_014,NORMAL,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.7,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,antivirus_disabled; realtime_protection_disabled,10.01,9.945,0.23,9.831,10.459,0.023,0.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R006,SEC_017,SEC,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,9.937,9.814,0.279,9.773,10.495,0.0281,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R011,PROC_005,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.8,0.5,1.0,4,2,False,0.8571,0.6429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3,3,lack of endpoint security controls; no antivirus protection; powershell.exe execution; windowsterminal.exe flagged as risky,11.905,11.573,0.666,11.474,13.23,0.056,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R018,SEC_005,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender disabled; powershell elevated,9.927,9.802,0.221,9.73,10.342,0.0223,1.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R028,AUTH_005,AUTH,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,failed_login_count_band: high; failed_logins: 6,10.715,10.604,0.245,10.569,11.204,0.0228,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R029,USB_007,USB,abnormal,medium,collected,5,abnormal,4,0.8,2,0.7219,False,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.6267,0.0667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,10.182,10.173,0.029,10.141,10.226,0.0028,0.8,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R046,NET_005,NET,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.6,0.0,1.0,4,0,False,0.8087,0.5217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,1.8,1.8,antivirus_disabled; defender:disabled; network_profile:public,10.206,9.991,0.423,9.99,11.051,0.0414,0.0,0.0,0.2,0.1,0.1333
gemma3:12b,baseline,R050,AUTH_003,AUTH,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,failed_login_activity; multiple failed logins,9.949,9.813,0.235,9.787,10.405,0.0236,0.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R051,SEC_010,SEC,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.7793,0.4483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,risky_processes,10.68,10.296,0.928,9.943,12.51,0.0869,1.0,0.0,1.0,0.5,0.6667
gemma3:12b,baseline,R060,NET_012,NET,abnormal,high,augmented,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,1,1,True,0.8105,0.5263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,nmap.exe running,10.156,10.174,0.062,10.039,10.222,0.0061,1.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R067,AUTH_009,AUTH,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,failed_login_activity; risky_processes,11.017,10.781,0.604,10.577,12.213,0.0548,1.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R079,USB_017,USB,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,10.178,10.09,0.242,9.983,10.646,0.0237,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R086,PROC_016,PROC,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,4,4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4,4,cmd.exe process with unusual command line arguments; powershell.exe running; python.exe running; windowsterminal.exe running,12.817,12.592,0.5,12.458,13.808,0.039,0.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R095,PERSIST_006,PERSIST,abnormal,high,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,scheduled_task_change,10.626,10.569,0.165,10.464,10.944,0.0155,1.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R098,PROC_006,PROC,abnormal,medium,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,4,4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4,4,antivirus disabled; cmd.exe process spawned by explorer.exe; realtime protection disabled; windowsterminal.exe process spawned by svchost.exe,14.288,14.16,0.399,13.893,15.055,0.0279,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R099,PERSIST_017,PERSIST,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,10.218,10.164,0.206,10.035,10.618,0.0201,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R105,PERSIST_014,PERSIST,abnormal,critical,augmented,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe process detected; service change activity,10.46,10.408,0.109,10.397,10.678,0.0104,1.0,0.0,0.0,0.0,0.0
gemma3:12b,baseline,R113,NORMAL_016,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.7,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,10.747,10.633,0.232,10.595,11.209,0.0216,1.0,1.0,0.0,0.0,0.0
gemma3:12b,baseline,R114,NORMAL_006,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,0.7419,0.3548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,powershell.exe running; python.exe running,10.525,10.361,0.428,10.243,11.375,0.0407,1.0,1.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R002,NORMAL_008,NORMAL,normal,low,collected,5,normal,5,1.0,1,-0.0,True,low,5,1.0,1,-0.0,True,1.0,1.0,1.0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender and firewall fully enabled; no suspicious processes or changes detected,13.921,10.094,7.671,10.055,29.262,0.551,1.0,1.0,0.0,0.0,0.0
gpt-oss:20b,baseline,R005,NORMAL_014,NORMAL,normal,low,collected,5,abnormal,5,1.0,1,-0.0,True,medium,5,1.0,1,-0.0,True,0.7333,0.3333,1.0,3,1,False,0.8476,0.619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,2,defender disabled; firewall disabled; firewall off,10.42,10.225,0.422,10.148,11.26,0.0405,0.0,0.0,0.0,0.0,0.0
