record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,1.0,network_profile_viewed; network_profile_unchanged; settings_viewed; no_additional_risky_activity,network_profile_viewed;network_profile_unchanged,NET_003; NET_001; NORMAL_003,20; 19; 17,Viewing network settings without changes is normal and does not indicate a risk.,No action required; this activity is within normal baseline behavior.,9.349,0,TRUE,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is using a private network with no risky co-signal, indicating normal activity.",No action required; this is normal network use.,5.334,0,TRUE,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,authorised_usb;no_file_execution,NET_001; NORMAL_003; USB_001,16; 16; 10,The device is using a private network and there are no additional risky activities detected.,No action required; this activity is within normal operational bounds.,4.749,0,TRUE,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,scheduled_task_modified; defender_realtime_protection_disabled,scheduled_task_created,PERSIST_002; SEC_003; PERSIST_003,24; 18; 17,"A scheduled task was created without a clear explanation, and real-time protection is disabled, which is a risky combination.",Investigate the scheduled task's purpose and verify if Defender should be disabled.,5.693,0,TRUE,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_disabled; firewall_configuration_changed,normal_app_activity,SEC_003; SEC_004; AUTH_005,18; 14; 11,"Defender real-time protection is disabled, which is a high-risk action, but no additional risky activities are observed.",Check if Defender is disabled for a legitimate reason and ensure real-time protection is enabled for security.,5.558,0,TRUE,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity; normal_network_activity,settings_viewed;no_security_change,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is using a private network with normal activity and no risky signals.,No action required; this activity is within normal bounds.,4.988,0,TRUE,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.0,scheduled_task_change; defender_disabled,file_download;scheduled_task_created,SEC_003; PERSIST_002; SEC_004,17; 16; 14,"A scheduled task was modified without clear justification, and Defender real-time protection is disabled, both of which are high-risk indicators.",Investigate the scheduled task and check why Defender is disabled. Ensure real-time protection is enabled.,5.547,0,TRUE,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,The device is using a private network with no risky co-signal.,No action required; normal network activity.,4.988,0,TRUE,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; normal_app_activity; no_additional_risky_activity,private_network;browser_activity,NET_001; NORMAL_003; NORMAL_001,17; 17; 11,The device is using a private network and running standard applications without any risky activity.,No action required; this activity is within normal operational bounds.,5.017,0,TRUE,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity; normal_network_activity,normal_app_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is using a private network with normal browsing activity and no signs of malicious behavior.,No action required; this activity is within expected baseline behavior.,5.247,0,TRUE,TRUE,
R011,PROC_005,PROC,PowerShell used to list local processes,normal,abnormal,FALSE,FN,,low,medium,FALSE,0.0,basic_command_use; no_additional_risky_activity,powershell_activity;process_enumeration,PROC_001; SEC_003; PROC_005,20; 20; 18,PowerShell and terminal were opened but only used for basic process listing with no scripts or security changes.,No action needed; basic command-line use is normal for administration.,5.568,0,TRUE,TRUE,
R012,SEC_003,SEC,Firewall settings viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity; basic_command_use,settings_viewed;no_security_change,NET_001; NORMAL_003; PROC_001,16; 16; 15,The device is using a private network and running basic command-line tools like cmd.exe and powershell.exe without any suspicious activity or risky signals.,No action required; this is normal activity.,5.459,0,TRUE,TRUE,
R013,SEC_015,SEC,Windows Security opened and viewed without making changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity; security_history_viewed,settings_viewed,NET_001; NORMAL_003; SEC_001,18; 18; 17,"User viewed Windows Security interface without changing settings, and network activity is normal on a private profile.",No action required; this is normal behavior.,5.131,0,TRUE,TRUE,
R014,PERSIST_004,PERSIST,Startup apps viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,settings_viewed; private_network,startup_items_viewed;no_persistence_change,PERSIST_004; NET_001; NORMAL_004,18; 17; 17,A settings interface was viewed on a private network with no configuration changes or risky activity.,No action required; this is normal user activity.,5.237,0,TRUE,TRUE,
R015,AUTH_006,AUTH,Repeated failed login attempts in short time,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,1.0,high_failed_login_count; repeated_failed_logins,repeated_failed_logins,AUTH_004; NORMAL_003; AUTH_003,24; 20; 17,"The device experienced a high number of failed login attempts, which is a strong indicator of automated guessing attempts.",Investigate the failed login attempts and ensure account credentials are secure.,5.55,0,TRUE,TRUE,
R016,SEC_014,SEC,Multiple security control changes performed and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.667,defender_disabled; defender_configuration_changed,defender_configuration_changed;defender_disabled;security_setting_restored,SEC_003; PERSIST_005; SEC_004,22; 15; 15,"Microsoft Defender real-time protection is disabled, which removes a key defense layer and is a high-risk security action.",Enable real-time protection in Microsoft Defender and review system changes for potential security threats.,5.387,0,TRUE,TRUE,
R017,SEC_016,SEC,Defender status viewed and left enabled,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity; basic_command_use,settings_viewed;defender_enabled,NET_001; NORMAL_003; PROC_001,16; 16; 9,"The device is using a private network with no risky co-signal, and basic command-line tools are being used normally.",No action required; this activity is within normal operational bounds.,5.051,0,TRUE,TRUE,
R018,SEC_005,SEC,Defender real-time protection temporarily disabled and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled; defender_configuration_changed,defender_disabled;security_setting_restored,SEC_003; PROC_005; AUTH_005,31; 19; 18,"Microsoft Defender real-time protection is disabled, which removes a key defense layer and is a high-risk security action.",Enable real-time protection in Microsoft Defender and review system activity for any suspicious behavior.,5.412,0,TRUE,TRUE,
