record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,model_explanation,model_recommendation,latency_seconds,json_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; code.exe and notepad.exe opened,network_profile_viewed;network_profile_unchanged,"The user is running PowerShell and VS Code, which are common development tools. No risky processes or network activity were detected.",Continue monitoring.,10.918,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; python.exe running,document_activity,"The device has standard security features enabled and shows typical application usage, including development tools like VS Code and scripting languages.",Continue monitoring.,10.566,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,cmd.exe running; powershell.exe running,authorised_usb;no_file_execution,"Standard system processes are running, and a USB drive was connected; this is typical for many users.",Monitor for unusual process activity.,10.674,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,scheduled_task_change; defender_disabled,scheduled_task_created,"A new scheduled task was created, which could be malicious. Defender is disabled, reducing endpoint protection.",Investigate the new scheduled task and enable Defender.,10.806,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,antivirus_disabled; realtime_protection_disabled,normal_app_activity,"Endpoint security controls (antivirus and real-time protection) are disabled, increasing vulnerability to threats.",Enable endpoint security immediately.,10.599,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; python.exe running,settings_viewed;no_security_change,"The device has standard security features enabled and shows typical user activity like code editor usage, with no immediate signs of compromise.",Continue monitoring.,10.357,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.5,scheduled_task_change; file_downloaded,file_download;scheduled_task_created,"A scheduled task and a file were downloaded, which warrants further investigation as these actions could be malicious.",Review download source and scheduled task details.,10.908,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; python.exe running,authorised_usb;usb_files_viewed,"The device has standard security features enabled and shows typical user activity like code editor usage, with no immediate signs of compromise.",Continue monitoring.,10.251,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell.exe running; risky_processes contains powershell.exe,private_network;browser_activity,"PowerShell is flagged as a risky process, indicating potential for malicious activity or scripting.",Monitor PowerShell usage and review scripts.,10.813,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; python.exe running,normal_app_activity,"The user is running common development tools (code.exe, python.exe) and applications like Microsoft Teams and Excel on a private network. While PowerShell and Python are present, there's no indication of malicious activity.",Monitor for unusual command-line arguments.,12.28,TRUE,
R011,PROC_005,PROC,PowerShell used to list local processes,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,powershell.exe execution; windowsterminal.exe flagged as risky; lack of endpoint security controls,powershell_activity;process_enumeration,"The presence of PowerShell and Windows Terminal, marked as risky processes, combined with disabled antivirus and firewall protections raises concerns about potential malicious activity or unauthorized access.",Investigate the PowerShell command executed and enable endpoint security features.,13.455,TRUE,
