record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.5,network_profile_viewed; no_additional_risky_activity,network_profile_viewed;network_profile_unchanged,NET_003; NET_001; NORMAL_003,20; 19; 17,Viewing network settings without change is a normal activity.,No further action required.,9.243,0,TRUE,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The observed scenario shows ordinary use of a private network with no risky signals. The user is browsing common sites and using known background tasks.,No further action required; the activity appears to be normal.,5.51,0,TRUE,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; ordinary_browsing; authorised_usb,authorised_usb;no_file_execution,NET_001; NORMAL_003; USB_001,16; 16; 10,"The user is using the device on a private network, browsing common sites, and connecting an authorized USB drive. This activity is considered normal.",No further action required.,5.342,0,TRUE,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,scheduled_task_change; defender_disabled,scheduled_task_created,PERSIST_002; SEC_003; PERSIST_003,24; 18; 17,The creation of a scheduled task and the disabling of Microsoft Defender real-time protection are both risky activities that may indicate an attempt to persist on the system.,Investigate further to determine the legitimacy of these actions and take appropriate measures to secure the system.,5.892,0,TRUE,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,abnormal,normal,FALSE,FP,,high,low,FALSE,0.0,defender_disabled; firewall_events,normal_app_activity,SEC_003; SEC_004; AUTH_005,18; 14; 11,"The Microsoft Defender real-time protection is disabled, and there are unexplained firewall configuration changes. This combination of events indicates a high risk.",Enable Microsoft Defender real-time protection and review the firewall configuration to ensure it is set up correctly.,5.484,0,TRUE,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,settings_viewed;no_security_change,NET_001; NORMAL_003; NET_002,16; 16; 8,"The observed scenario shows ordinary use of a private network with no risky signals. The user is browsing common sites and using PowerShell and Python, which are normal activities.",No action required; the activity appears to be benign.,5.531,0,TRUE,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.0,defender_disabled; scheduled_task_change,file_download;scheduled_task_created,SEC_003; PERSIST_002; SEC_004,17; 16; 14,"The Defender real-time protection is disabled, and a scheduled task was created or modified. This combination of events increases the risk level.",Review the scenario notes for supporting context and consider enabling Defender real-time protection and monitoring the system for any suspicious activity.,5.55,0,TRUE,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.5,unknown_usb; usb_connected; usb_files_viewed,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,"An unknown device is connected and its files are viewed, which raises concern. Although visibility is not execution, the presence of an unknown device increases the risk level.",Verify the identity of the connected device and ensure that only authorized devices can access sensitive data.,5.561,0,TRUE,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,risky_processes; powershell.exe,private_network;browser_activity,NET_001; NORMAL_003; NORMAL_001,17; 17; 11,The presence of 'risky_processes' and the specific process 'powershell.exe' indicates potential malicious activity.,Monitor the system for further suspicious activity and consider running a full scan with antivirus software.,5.339,0,TRUE,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,normal_app_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The observed activity is normal as it only shows private network use and ordinary browsing with no other risk signals.,No further action required; the system is operating within expected parameters.,5.355,0,TRUE,TRUE,
