record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,model_explanation,model_recommendation,latency_seconds,json_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,network_profile_viewed;network_profile_unchanged,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,5.413,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,document_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.84,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; private_network; no_usb_files_browsed,authorised_usb;no_file_execution,"The device has active antivirus and firewall protections, is connected to a private network, and no suspicious processes or USB activity were detected.",No action required; continue monitoring for unusual activity.,4.864,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,scheduled_task_change; collector_generated_events_filtered,scheduled_task_created,"A new scheduled task was created manually, and some events were filtered by the collector, which could indicate attempts to obscure activity.",Review the scheduled task details and check for any hidden processes or event logs.,4.846,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,normal,normal,TRUE,TN,,low,low,TRUE,0.0,no malware detected; no suspicious processes,normal_app_activity,"The device shows no signs of malware or suspicious activity. Antivirus and firewall are disabled, but no malicious processes or network activity were observed.",Ensure antivirus and firewall are enabled for better protection.,4.81,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,settings_viewed;no_security_change,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes or file downloads were detected.",Continue monitoring for unusual activity.,4.708,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,medium,critical,FALSE,0.5,file_downloaded; scheduled_task_change,file_download;scheduled_task_created,"A file was downloaded and a scheduled task was modified, which could indicate potential security risks.","Review the downloaded file and scheduled task for malicious activity, and ensure antivirus and firewall are enabled.",4.677,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; usb_connection_count_1,authorised_usb;usb_files_viewed,"The device has antivirus and firewall enabled, no risky processes detected, and a single USB connection which is not suspicious.",No action required. Ensure antivirus and firewall remain enabled.,4.747,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,normal,normal,TRUE,TN,,low,low,TRUE,0.5,defender_enabled; no_usb_activity; private_network,private_network;browser_activity,"The device has active antivirus and firewall protections, no USB devices connected, and is on a private network, indicating normal activity.",Ensure all software is up to date and continue monitoring for any changes.,4.934,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,normal_app_activity,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.773,TRUE,
R011,PROC_005,PROC,PowerShell used to list local processes,abnormal,abnormal,TRUE,TP,,medium,medium,TRUE,0.0,risky_processes; verified_commands,powershell_activity;process_enumeration,The presence of risky processes like powershell.exe and the execution of commands that list processes could indicate potential for malicious activity.,Review the commands executed and monitor for unusual behavior.,4.774,TRUE,
R012,SEC_003,SEC,Firewall settings viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; no_usb_activity,settings_viewed;no_security_change,"The device has active antivirus and firewall protections, no suspicious processes, and no USB activity detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.791,TRUE,
R013,SEC_015,SEC,Windows Security opened and viewed without making changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,settings_viewed,"The device has antivirus and firewall enabled, no suspicious processes, and is on a private network.",No action needed; security settings are properly configured.,4.652,TRUE,
R014,PERSIST_004,PERSIST,Startup apps viewed only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,startup_items_viewed;no_persistence_change,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",No action required; continue monitoring standard activity.,4.787,TRUE,
R015,AUTH_006,AUTH,Repeated failed login attempts in short time,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.0,high number of failed logins; failed login activity,repeated_failed_logins,"The device has experienced a high number of failed login attempts, which could indicate a brute force attack or unauthorized access attempts.",Investigate the source of failed login attempts and strengthen authentication mechanisms.,5.066,TRUE,
R016,SEC_014,SEC,Multiple security control changes performed and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.333,defender_disabled; multiple_defender_config_changes; realtime_protection_disabled,defender_configuration_changed;defender_disabled;security_setting_restored,The device has Windows Defender disabled and multiple configuration changes indicating potential tampering or malware activity.,Enable Windows Defender and review system integrity with a security scan.,4.856,TRUE,
R017,SEC_016,SEC,Defender status viewed and left enabled,normal,normal,TRUE,TN,,low,low,TRUE,0.5,defender_enabled; no_risky_processes; private_network,settings_viewed;defender_enabled,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes or file downloads were detected.",Continue monitoring standard security practices.,4.639,TRUE,
R018,SEC_005,SEC,Defender real-time protection temporarily disabled and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled; elevated_processes; defender_events_inconsistent,defender_disabled;security_setting_restored,"Antivirus and real-time protection are disabled, and there are inconsistent defender events indicating possible tampering or misconfiguration.",Enable real-time protection and scan the device for malware.,4.869,TRUE,
R019,USB_002,USB,Authorised USB inserted and folder viewed,normal,normal,TRUE,TN,,low,low,TRUE,0.0,defender_enabled; no_risky_processes; private_network,authorised_usb;usb_files_viewed,"The device has active antivirus and firewall protections, is on a private network, and no suspicious processes were detected.",Ensure all software is up to date and continue monitoring for unusual activity.,4.823,TRUE,
