record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,model_explanation,model_recommendation,latency_seconds,json_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.0,no suspicious processes detected; defender and firewall enabled,network_profile_viewed;network_profile_unchanged,"Typical developer activity with antivirus and firewall active, no signs of compromise.",Continue normal use and monitoring,30.822,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,cmd.exe running; powershell.exe background task,document_activity,User opened Visual Studio Code and ran standard command-line tools with no evidence of malware or policy violations.,Continue normal monitoring,11.513,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,usb_drive_connected; standard_shell_processes_running,authorised_usb;no_file_execution,"The device shows typical administrative usage with no malware indicators, and all security controls are active.",Continue normal monitoring,10.005,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,0.0,Defender disabled; Firewall off,scheduled_task_created,"The device has no active antivirus or firewall protection, which is a security weakness even though no malicious activity was observed.","Enable Windows Defender and the firewall, then review any manually created scheduled tasks.",10.774,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,abnormal,normal,FALSE,FP,,high,low,FALSE,0.0,defender_disabled; firewall_off,normal_app_activity,"The device has no antivirus or firewall enabled, leaving it vulnerable to attacks even though no malicious activity was observed.",Enable Windows Defender and the built‑in firewall immediately.,12.769,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; python.exe running,settings_viewed;no_security_change,User opened VS Code and ran PowerShell/Python without any suspicious or risky activity detected.,Continue normal monitoring,10.777,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,low,critical,FALSE,0.0,defender_disabled; firewall_off,file_download;scheduled_task_created,"Security services are turned off, which is unusual for a normal user session.",Re-enable Windows Defender and the firewall immediately.,10.5,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell_and_python_running; single_usb_connection,authorised_usb;usb_files_viewed,No malicious activity detected; standard development tools and a single USB device were used on a protected network.,Continue normal monitoring,9.272,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,normal,normal,TRUE,TN,,low,low,TRUE,0.0,powershell.exe running; defender enabled,private_network;browser_activity,"PowerShell was launched, but no commands or downloads were observed and security controls remain active.",Continue monitoring PowerShell usage for any future suspicious activity.,10.881,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,no suspicious downloads or changes; no elevated or risky processes,normal_app_activity,"The device shows typical user activity with no signs of malware, policy violations, or anomalous behavior.",Continue normal monitoring and keep security tools enabled,9.949,TRUE,
