filename,category,action_taken,reason
credential_spraying.md,AUTH,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
failed_login_bursts.md,AUTH,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
unusual_success_after_failures.md,AUTH,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
port_scanning.md,NET,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
public_network_exposure.md,NET,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
suspicious_external_connections.md,NET,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
approved_admin_activity.md,NORMAL,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
benign_device_and_network_use.md,NORMAL,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
routine_user_activity.md,NORMAL,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
registry_or_wmi_persistence.md,PERSIST,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
scheduled_task_persistence.md,PERSIST,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
service_persistence.md,PERSIST,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
credential_and_discovery_tools.md,PROC,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
living_off_the_land_binaries.md,PROC,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
suspicious_powershell.md,PROC,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
defender_tampering.md,SEC,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
firewall_profile_changes.md,SEC,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
log_and_policy_tampering.md,SEC,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
data_copy_to_removable_media.md,USB,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
unauthorized_removable_media.md,USB,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
usb_malware_execution.md,USB,replaced,"attack-only framing, indicator tokens outside controlled vocabulary, and/or references to uncollected telemetry; superseded by contrastive schema-aligned documents"
