scenario_id,evidence_source,collector_failed_logins,structured_manual_evidence,verification_note
AUTH_011,operator_note_and_manual_review,0,"{""failed_login_activity"": true, ""failed_login_count_band"": ""multiple_count_not_captured"", ""network_context"": ""public""}",Operator note verified failed-login activity while the network profile was public; no reliable numeric count was captured.
AUTH_012,operator_note_and_manual_review,0,"{""failed_login_activity"": true, ""failed_login_count_band"": ""high_count_not_captured"", ""network_context"": ""private""}",Operator note verified a high number of failed login attempts in a short time window; the numeric count was not captured reliably.
NET_008,operator_note_and_manual_review,0,"{""failed_login_activity"": true, ""failed_login_count_band"": ""multiple_count_not_captured"", ""network_context"": ""public""}",Operator note verified failed-login activity on a public network; the Security log did not capture a reliable numeric count.
NET_009,operator_note_and_manual_review,0,"{""command_activity"": ""scanner_version_check"", ""network_context"": ""private"", ""scanner_tool"": ""nmap"", ""verified_commands"": [""nmap --version""]}",Operator note verified that Nmap was opened for a version check only.
NET_010,operator_note_and_manual_review,0,"{""command_activity"": ""local_network_scan"", ""network_context"": ""private"", ""scan_target"": ""127.0.0.1"", ""scanner_tool"": ""nmap"", ""verified_commands"": [""nmap 127.0.0.1""]}",Operator note verified an authorised Nmap scan against the local host.
PERSIST_008,operator_note_and_manual_review,0,"{""network_context"": ""private"", ""startup_action"": ""added"", ""startup_item"": ""Notepad startup shortcut"", ""startup_item_change"": true}",Operator note verified that a harmless Notepad shortcut was added to the Startup folder.
PERSIST_013,operator_note_and_manual_review,0,"{""defender_change"": ""disabled_then_restored"", ""startup_action"": ""added"", ""startup_item"": ""Notepad startup shortcut"", ""startup_item_change"": true}",Scenario documentation verifies that a harmless startup item was added while Defender was temporarily disabled.
PROC_005,operator_note_and_manual_review,0,"{""command_activity"": ""process_listing"", ""verified_commands"": [""Get-Process | Select-Object -First 10""]}",Operator note verified that PowerShell was used to list local processes.
PROC_007,operator_note_and_manual_review,0,"{""command_activity"": ""script_execution"", ""network_context"": ""private"", ""script_name"": ""test_script.ps1"", ""verified_commands"": [""PowerShell script executed from local test folder""]}",Operator note verified execution of the harmless test PowerShell script from the local test folder.
PROC_008,operator_note_and_manual_review,0,"{""command_activity"": ""unusual_powershell_command"", ""network_context"": ""private"", ""verified_commands"": [""Controlled unusual or encoded-looking PowerShell command""]}",Operator note verified that the controlled PowerShell command was intentionally unusual in form.
SEC_006,operator_note_and_manual_review,0,"{""defender_change"": ""configuration_changed_then_restored""}",Operator note confirms that a Defender setting was changed temporarily and restored; the Windows event log did not provide a complete structured record.
SEC_013,operator_note_and_manual_review,0,"{""defender_change"": ""disabled_then_restored"", ""suspicious_process_context"": true}",Operator note verified that Defender was temporarily disabled while PowerShell activity was present.
USB_005,operator_note_and_manual_review,0,"{""device_trust"": ""unknown""}",Operator note verified that the inserted device was treated as unknown and no file was opened.
USB_006,operator_note_and_manual_review,0,"{""device_trust"": ""unknown"", ""usb_content_type"": ""general_files"", ""usb_files_browsed"": true}",Operator note verified that an unknown USB was inserted and its files were browsed.
USB_007,operator_note_and_manual_review,0,"{""device_trust"": ""unknown"", ""network_context"": ""private"", ""usb_content_type"": ""script_or_executable_visible""}",The operator note verified that a script or executable-type file was visible on the USB. Filename collection was disabled by design.
USB_013,operator_note_and_manual_review,0,"{""archive_accessed"": true, ""archive_type"": ""zip"", ""device_trust"": ""unknown"", ""usb_content_type"": ""compressed_archive"", ""usb_files_browsed"": true}",Operator note verified that a harmless compressed archive on the USB was accessed.
USB_014,operator_note_and_manual_review,0,"{""command_activity"": ""powershell_with_usb"", ""device_trust"": ""unknown"", ""suspicious_process_context"": true, ""verified_commands"": [""Get-ChildItem""]}",Operator note verified combined USB activity and user-launched PowerShell activity.
