model,scenario_id,category,ground_truth_class,baseline_output_category,baseline_predicted_class,rag_output_category,rag_predicted_class,change,rag_retrieved_doc_ids
llama3,AUTH_001,AUTH,normal,valid_correct,normal,valid_incorrect,abnormal,RAG broke,AUTH_002; NORMAL_003; AUTH_004
llama3,AUTH_002,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
llama3,AUTH_003,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_003; NORMAL_003; AUTH_004
llama3,AUTH_004,AUTH,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,SEC_003; AUTH_005; AUTH_002
llama3,AUTH_005,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_004; NORMAL_003; AUTH_003
llama3,AUTH_006,AUTH,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,AUTH_004; NORMAL_003; AUTH_003
llama3,AUTH_007,AUTH,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,AUTH_003; NORMAL_003; AUTH_004
llama3,AUTH_008,AUTH,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,AUTH_003; NORMAL_003; AUTH_004
llama3,AUTH_009,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NORMAL_001
llama3,AUTH_010,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_003; NORMAL_003; NET_001
llama3,AUTH_011,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,AUTH_005; NET_002; NORMAL_003
llama3,AUTH_012,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,NORMAL_003; NET_001; AUTH_004
llama3,AUTH_013,AUTH,abnormal,valid_incorrect,normal,valid_correct,abnormal,RAG fixed,AUTH_002; NORMAL_003; AUTH_004
llama3,AUTH_014,AUTH,abnormal,valid_correct,abnormal,valid_correct,abnormal,same,SEC_003; AUTH_005; AUTH_002
llama3,AUTH_015,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,AUTH_016,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,AUTH_017,AUTH,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; PROC_001
llama3,NET_001,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NET_002,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NET_003,NET,normal,valid_correct,normal,valid_correct,normal,same,NET_001; NORMAL_003; NET_002
llama3,NET_004,NET,normal,valid_incorrect,abnormal,valid_correct,normal,RAG fixed,NET_001; NORMAL_003; NET_002
llama3,NET_005,NET,normal,valid_incorrect,abnormal,valid_incorrect,abnormal,same,AUTH_005; NET_002; SEC_003
