model,scenario_id,retrieval_plan_present,document_ids_identical,document_order_identical,scores_identical,retrieval_hash_identical,all_repetitions_identical_retrieval,status
deepseek-r1:8b,AUTH_003,True,True,True,True,True,True,ok
deepseek-r1:8b,AUTH_005,True,True,True,True,True,True,ok
deepseek-r1:8b,AUTH_009,True,True,True,True,True,True,ok
deepseek-r1:8b,NET_005,True,True,True,True,True,True,ok
deepseek-r1:8b,NET_012,True,True,True,True,True,True,ok
deepseek-r1:8b,NORMAL_006,True,True,True,True,True,True,ok
deepseek-r1:8b,NORMAL_008,True,True,True,True,True,True,ok
deepseek-r1:8b,NORMAL_014,True,True,True,True,True,True,ok
deepseek-r1:8b,NORMAL_016,True,True,True,True,True,True,ok
deepseek-r1:8b,PERSIST_006,True,True,True,True,True,True,ok
deepseek-r1:8b,PERSIST_014,True,True,True,True,True,True,ok
deepseek-r1:8b,PERSIST_017,True,True,True,True,True,True,ok
deepseek-r1:8b,PROC_005,True,True,True,True,True,True,ok
deepseek-r1:8b,PROC_006,True,True,True,True,True,True,ok
deepseek-r1:8b,PROC_016,True,True,True,True,True,True,ok
deepseek-r1:8b,SEC_005,True,True,True,True,True,True,ok
deepseek-r1:8b,SEC_010,True,True,True,True,True,True,ok
deepseek-r1:8b,SEC_017,True,True,True,True,True,True,ok
deepseek-r1:8b,USB_007,True,True,True,True,True,True,ok
deepseek-r1:8b,USB_017,True,True,True,True,True,True,ok
gemma3:12b,AUTH_003,True,True,True,True,True,True,ok
gemma3:12b,AUTH_005,True,True,True,True,True,True,ok
gemma3:12b,AUTH_009,True,True,True,True,True,True,ok
gemma3:12b,NET_005,True,True,True,True,True,True,ok
gemma3:12b,NET_012,True,True,True,True,True,True,ok
gemma3:12b,NORMAL_006,True,True,True,True,True,True,ok
gemma3:12b,NORMAL_008,True,True,True,True,True,True,ok
gemma3:12b,NORMAL_014,True,True,True,True,True,True,ok
gemma3:12b,NORMAL_016,True,True,True,True,True,True,ok
gemma3:12b,PERSIST_006,True,True,True,True,True,True,ok
gemma3:12b,PERSIST_014,True,True,True,True,True,True,ok
gemma3:12b,PERSIST_017,True,True,True,True,True,True,ok
gemma3:12b,PROC_005,True,True,True,True,True,True,ok
gemma3:12b,PROC_006,True,True,True,True,True,True,ok
gemma3:12b,PROC_016,True,True,True,True,True,True,ok
gemma3:12b,SEC_005,True,True,True,True,True,True,ok
gemma3:12b,SEC_010,True,True,True,True,True,True,ok
gemma3:12b,SEC_017,True,True,True,True,True,True,ok
gemma3:12b,USB_007,True,True,True,True,True,True,ok
gemma3:12b,USB_017,True,True,True,True,True,True,ok
gpt-oss:20b,AUTH_003,True,True,True,True,True,True,ok
gpt-oss:20b,AUTH_005,True,True,True,True,True,True,ok
gpt-oss:20b,AUTH_009,True,True,True,True,True,True,ok
gpt-oss:20b,NET_005,True,True,True,True,True,True,ok
gpt-oss:20b,NET_012,True,True,True,True,True,True,ok
gpt-oss:20b,NORMAL_006,True,True,True,True,True,True,ok
gpt-oss:20b,NORMAL_008,True,True,True,True,True,True,ok
gpt-oss:20b,NORMAL_014,True,True,True,True,True,True,ok
gpt-oss:20b,NORMAL_016,True,True,True,True,True,True,ok
gpt-oss:20b,PERSIST_006,True,True,True,True,True,True,ok
gpt-oss:20b,PERSIST_014,True,True,True,True,True,True,ok
gpt-oss:20b,PERSIST_017,True,True,True,True,True,True,ok
gpt-oss:20b,PROC_005,True,True,True,True,True,True,ok
gpt-oss:20b,PROC_006,True,True,True,True,True,True,ok
gpt-oss:20b,PROC_016,True,True,True,True,True,True,ok
gpt-oss:20b,SEC_005,True,True,True,True,True,True,ok
gpt-oss:20b,SEC_010,True,True,True,True,True,True,ok
gpt-oss:20b,SEC_017,True,True,True,True,True,True,ok
gpt-oss:20b,USB_007,True,True,True,True,True,True,ok
gpt-oss:20b,USB_017,True,True,True,True,True,True,ok
llama3,AUTH_003,True,True,True,True,True,True,ok
llama3,AUTH_005,True,True,True,True,True,True,ok
llama3,AUTH_009,True,True,True,True,True,True,ok
llama3,NET_005,True,True,True,True,True,True,ok
llama3,NET_012,True,True,True,True,True,True,ok
llama3,NORMAL_006,True,True,True,True,True,True,ok
llama3,NORMAL_008,True,True,True,True,True,True,ok
llama3,NORMAL_014,True,True,True,True,True,True,ok
llama3,NORMAL_016,True,True,True,True,True,True,ok
llama3,PERSIST_006,True,True,True,True,True,True,ok
llama3,PERSIST_014,True,True,True,True,True,True,ok
llama3,PERSIST_017,True,True,True,True,True,True,ok
llama3,PROC_005,True,True,True,True,True,True,ok
llama3,PROC_006,True,True,True,True,True,True,ok
llama3,PROC_016,True,True,True,True,True,True,ok
llama3,SEC_005,True,True,True,True,True,True,ok
llama3,SEC_010,True,True,True,True,True,True,ok
llama3,SEC_017,True,True,True,True,True,True,ok
llama3,USB_007,True,True,True,True,True,True,ok
llama3,USB_017,True,True,True,True,True,True,ok
qwen3:8b,AUTH_003,True,True,True,True,True,True,ok
qwen3:8b,AUTH_005,True,True,True,True,True,True,ok
qwen3:8b,AUTH_009,True,True,True,True,True,True,ok
qwen3:8b,NET_005,True,True,True,True,True,True,ok
qwen3:8b,NET_012,True,True,True,True,True,True,ok
qwen3:8b,NORMAL_006,True,True,True,True,True,True,ok
qwen3:8b,NORMAL_008,True,True,True,True,True,True,ok
qwen3:8b,NORMAL_014,True,True,True,True,True,True,ok
qwen3:8b,NORMAL_016,True,True,True,True,True,True,ok
qwen3:8b,PERSIST_006,True,True,True,True,True,True,ok
qwen3:8b,PERSIST_014,True,True,True,True,True,True,ok
qwen3:8b,PERSIST_017,True,True,True,True,True,True,ok
qwen3:8b,PROC_005,True,True,True,True,True,True,ok
qwen3:8b,PROC_006,True,True,True,True,True,True,ok
qwen3:8b,PROC_016,True,True,True,True,True,True,ok
qwen3:8b,SEC_005,True,True,True,True,True,True,ok
qwen3:8b,SEC_010,True,True,True,True,True,True,ok
qwen3:8b,SEC_017,True,True,True,True,True,True,ok
qwen3:8b,USB_007,True,True,True,True,True,True,ok
qwen3:8b,USB_017,True,True,True,True,True,True,ok
