model,condition,scenario_id,indicator_vocabulary_compliance_rate,canonical_indicator_count,out_of_vocabulary_indicator_count,unique_out_of_vocabulary_indicators
deepseek-r1:8b,baseline,NORMAL_008,0.0,0,4.8,"collector_is_admin: true (user is administrator); defender services enabled: true for antivirus and realtime protection; firewall active on all profiles; network profile private with no risky network events; no risky processes or elevated processes detected; running processes include code.exe, which might be a legitimate ide or editor"
deepseek-r1:8b,baseline,NORMAL_014,0.0,0,3,"defender not enabled (antivirus, anti-malware); multiple applications opened including code.exe and winword.exe; no security events detected in the last hour"
deepseek-r1:8b,baseline,SEC_017,0.0,0,8.4,"apps_opened: code.exe (likely a code editor) - benign in this context; benign_background_processes include code.exe - consistent with user activity.; code.exe opened - likely a code editor/ide that is commonly used by developers and not inherently suspicious in this context.; collector_is_admin: true (user is administrator); defender services enabled and not disabled or changed; firewall active on all profiles; network profile private with no risky network context; no failed login attempts, no elevated processes, no service changes, etc.; no risky processes running or detected; running monitored processes are common tools like powershell.exe, python.exe which can be used for legitimate development tasks."
deepseek-r1:8b,baseline,PROC_005,0.0,0,2,"powershell.exe is being run with unknown elevation status.; windowsterminal.exe was executed, which is listed in risky_processes."
deepseek-r1:8b,baseline,SEC_005,0.0,0,2,defender disabled on the device.; realtime protection is off in multiple status snapshots.
deepseek-r1:8b,baseline,AUTH_005,0.0,0,2,"elevated_processes: empty but no admin processes detected during login attempt; elevated_processes: empty but no risky processes detected, however the context shows suspicious activity; failed_login_activity: true with high count band and multiple failed logins (6)"
deepseek-r1:8b,baseline,USB_007,0.0,0,2,defender is enabled and active in all profiles.; no risky processes or elevated processes detected.
deepseek-r1:8b,baseline,NET_005,0.0,0,2,"code.exe is listed as a benign background process but was also opened by the user.; code.exe is listed as a benign background process, but no security software is active on the device.; no network protection or firewall activity detected.; no security software (defender) running or enabled on the device."
deepseek-r1:8b,baseline,AUTH_003,0.0,0,2,failed_login_activity: true with multiple failed logins (2); failed_login_count_band: 'multiple'
deepseek-r1:8b,baseline,SEC_010,0.0,0,2.8,"defender_disabled: true; firewall_events: [] (empty); powershell.exe and windowsterminal.exe are listed in risky_processes; verified_activity_context.suspicious_process_context: false, but risky_processes detected with powershell.exe and windowsterminal.exe"
deepseek-r1:8b,baseline,NET_012,0.0,0,2,no security software running on the endpoint (defender disabled).; presence of risky process 'nmap.exe' which is a network scanning tool.
deepseek-r1:8b,baseline,AUTH_009,0.0,0,2,"failed_login_activity: true with multiple failed logins (3); powershell.exe process detected without elevation status, which can be risky for executing scripts or commands; powershell.exe process detected, which is often used for advanced scripting and potentially malicious activities"
deepseek-r1:8b,baseline,USB_017,0.0,0,5,"benign_background_processes include code.exe and notepad.exe with explanation that they are part of vscode shell integration; collector_is_admin: true (user is administrator); defender_config_changed: false (no changes to security settings); firewall enabled for all profiles (domain, private, public): true; network_profile: private (lower risk than public)"
deepseek-r1:8b,baseline,PROC_016,0.0,0,2,indicator_1; indicator_2
deepseek-r1:8b,baseline,PERSIST_006,0.0,0,2,"benign_background_processes include code.exe which is not typically listed as benign, but in this context it's the same name as a risky process? note: the data shows 'code.exe' in both apps_opened and benign_background_processes. however, note that the event_summary also lists risky_processes as empty.; benign_background_processes include code.exe which is not typically listed as benign, but in this context it's unclear if the user intended to run it; scheduled_task_change: true with manual_review source"
deepseek-r1:8b,baseline,PROC_006,0.0,0,2,"cmd.exe is being run from system32 directory, which may indicate a command injection or malware execution.; cmd.exe is being run from system32 directory, which may indicate a compromised process or malware.; windowsterminal.exe is listed as risky and was executed with elevated privileges."
deepseek-r1:8b,baseline,PERSIST_017,0.0,0,4,"defender_enabled_indicators: antivirus, realtime protection, firewall all enabled.; network_profile_is_private_and_defender_config_not_changed.; no_elevated_processes_or_services_detected.; no_failed_login_attempts."
deepseek-r1:8b,baseline,PERSIST_014,0.0,0,2,powershell.exe in risky_processes list; service_change: true with manual_review required
deepseek-r1:8b,baseline,NORMAL_016,0.0,0,5,"benign_background_processes include common tools like notepad and powershell; collector_is_admin: true (user is administrator); defender_config_changed: false (no changes to security settings); firewall enabled for all profiles (domain, private, public): true; network_profile: private (safe network context)"
deepseek-r1:8b,baseline,NORMAL_006,0.0,0,5.4,"collector_is_admin: true (but no admin actions detected); collector_is_admin: true (user is administrator); defender services enabled and not changed or disabled; defender_config_changed: false (no changes to security settings); firewall active on all profiles; firewall enabled for all profiles (domain, private, public): true; network profile is private; network_profile: private (lower risk environment); no failed login attempts; no file downloads or usb activity; no risky processes running or opened; running_monitored_processes include cmd.exe and powershell.exe (common command-line tools)"
gemma3:12b,baseline,NORMAL_008,0.0,0,2,powershell.exe running; python.exe running
gemma3:12b,baseline,NORMAL_014,0.0,0,2,antivirus_disabled; realtime_protection_disabled
gemma3:12b,baseline,SEC_017,0.0,0,2,powershell.exe running; python.exe running
gemma3:12b,baseline,PROC_005,0.0,0,3,lack of endpoint security controls; no antivirus protection; powershell.exe execution; windowsterminal.exe flagged as risky
gemma3:12b,baseline,SEC_005,0.0,0,2,defender disabled; powershell elevated
gemma3:12b,baseline,AUTH_005,0.0,0,2,failed_login_count_band: high; failed_logins: 6
gemma3:12b,baseline,USB_007,0.0,0,2,powershell.exe running; python.exe running
gemma3:12b,baseline,NET_005,0.0,0.2,1.8,antivirus_disabled; defender:disabled; network_profile:public
gemma3:12b,baseline,AUTH_003,0.0,0,2,failed_login_activity; multiple failed logins
gemma3:12b,baseline,SEC_010,0.0,1,1,risky_processes
gemma3:12b,baseline,NET_012,0.0,0,1,nmap.exe running
gemma3:12b,baseline,AUTH_009,0.0,0,2,failed_login_activity; risky_processes
gemma3:12b,baseline,USB_017,0.0,0,2,powershell.exe running; python.exe running
gemma3:12b,baseline,PROC_016,0.0,0,4,cmd.exe process with unusual command line arguments; powershell.exe running; python.exe running; windowsterminal.exe running
gemma3:12b,baseline,PERSIST_006,0.0,1,1,scheduled_task_change
gemma3:12b,baseline,PROC_006,0.0,0,4,antivirus disabled; cmd.exe process spawned by explorer.exe; realtime protection disabled; windowsterminal.exe process spawned by svchost.exe
gemma3:12b,baseline,PERSIST_017,0.0,0,2,powershell.exe running; python.exe running
gemma3:12b,baseline,PERSIST_014,0.0,0,2,powershell.exe process detected; service change activity
gemma3:12b,baseline,NORMAL_016,0.0,0,2,powershell.exe running; python.exe running
gemma3:12b,baseline,NORMAL_006,0.0,0,2,powershell.exe running; python.exe running
gpt-oss:20b,baseline,NORMAL_008,0.0,0,2,defender and firewall fully enabled; no suspicious processes or changes detected
gpt-oss:20b,baseline,NORMAL_014,0.0,0,2,defender disabled; firewall disabled; firewall off
gpt-oss:20b,baseline,SEC_017,0.0,0,2,powershell.exe running; python.exe running
gpt-oss:20b,baseline,PROC_005,0.0,0,2.8,defender disabled; firewall disabled; firewall off; risky processes present
gpt-oss:20b,baseline,SEC_005,0.0,0.2,1.8,defender disabled; elevated powershell process; firewall_all_off
