record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,1.0,network_profile_viewed; network_profile_unchanged; no_additional_risky_activity,network_profile_viewed;network_profile_unchanged,NET_003; NET_001; NORMAL_003,20; 19; 17,"The user viewed network settings, which is normal behavior. No changes were made to the configuration.",No action required.,23.426,0,TRUE,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal baseline behavior.,No action required.,12.989,0,TRUE,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; authorised_usb; usb_connected,authorised_usb;no_file_execution,NET_001; NORMAL_003; USB_001,16; 16; 10,The device is connected to a private network and an authorized USB drive has been detected. This activity aligns with normal workplace use.,no action required,12.819,0,TRUE,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,1.0,scheduled_task_change; scheduled_task_created,scheduled_task_created,PERSIST_002; SEC_003; PERSIST_003,24; 18; 17,"A scheduled task was created. While the activity context indicates a 'Dissertation_Test_Task' was manually created, creating scheduled tasks is often used for persistence and warrants investigation.",Verify the purpose of the new scheduled task.,13.662,0,TRUE,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,abnormal,normal,FALSE,FP,,high,low,FALSE,0.0,defender_disabled,normal_app_activity,SEC_003; SEC_004; AUTH_005,18; 14; 11,"Microsoft Defender real-time protection is disabled, which removes a key defense layer. This warrants investigation and remediation.",Enable Microsoft Defender.,11.694,0,TRUE,TRUE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,settings_viewed;no_security_change,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with no other risky activity detected. This aligns with normal user behavior.,No action required.,13.195,0,TRUE,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.0,scheduled_task_change; defender_disabled,file_download;scheduled_task_created,SEC_003; PERSIST_002; SEC_004,17; 16; 14,"Defender is disabled and a scheduled task has been modified, indicating potential persistence mechanisms. This combination warrants further investigation.",Investigate the scheduled task modification.,12.597,0,TRUE,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,The device is operating on a private network with no signs of scanning or other risky activity. This aligns with normal baseline behavior.,continue monitoring,13.424,0,TRUE,TRUE,
R009,NET_015,NET,Private network used for normal browsing activity,abnormal,normal,FALSE,FP,,medium,low,FALSE,0.0,powershell.exe; risky_processes,private_network;browser_activity,NET_001; NORMAL_003; NORMAL_001,17; 17; 11,"The presence of 'powershell.exe' in the running processes, flagged as a risky process, warrants further investigation even though other indicators are benign.",Investigate PowerShell execution.,13.128,0,TRUE,TRUE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,normal_app_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,The device is operating on a private network with standard application usage and no detected security concerns. This aligns with normal user activity.,continue monitoring,11.709,0,TRUE,TRUE,
