record_id,scenario_id,category,scenario_name,predicted_class,ground_truth_class,class_match,outcome,manual_review,predicted_risk,ground_truth_risk,risk_match,indicator_overlap,predicted_indicators,expected_indicators,retrieved_doc_ids,retrieved_scores,model_explanation,model_recommendation,latency_seconds,retries_used,json_valid,strict_schema_valid,error
R001,NET_016,NET,Network settings viewed without changing network profile,normal,normal,TRUE,TN,,low,low,TRUE,0.5,network_profile_viewed; private_network; no_additional_risky_activity,network_profile_viewed;network_profile_unchanged,NET_003; NET_001; NORMAL_003,20; 19; 17,Viewing network settings on a private network without any changes or other risky activities is normal behavior.,No action needed; this activity is considered low risk.,9.343,0,TRUE,TRUE,
R002,NORMAL_008,NORMAL,Normal Notepad text editing,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,document_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky activities detected, such as scans or failed logins.",No action needed; this activity appears normal.,5.586,0,TRUE,TRUE,
R003,USB_001,USB,Authorised USB inserted with no suspicious file activity,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; authorised_usb,authorised_usb;no_file_execution,NET_001; NORMAL_003; USB_001,16; 16; 10,The device is connected to a private network and has an authorised USB drive with no risky activity detected.,"No action needed; this scenario represents normal, low-risk user behavior.",5.179,0,TRUE,TRUE,
R004,PERSIST_005,PERSIST,Harmless scheduled task created for test,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.0,scheduled_task_change: true with action created; source: manual_review which may be unexplained in context,scheduled_task_created,PERSIST_002; SEC_003; PERSIST_003,24; 18; 17,"A scheduled task was created without clear evidence of a sanctioned reason, indicating potential for unauthorized persistence.",Investigate the creation of Dissertation_Test_Task to determine if it is part of an attack or malicious activity.,6.25,0,TRUE,TRUE,
R005,NORMAL_014,NORMAL,Normal low-risk desktop session with no security-relevant action,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,normal_app_activity,SEC_003; SEC_004; AUTH_005,18; 14; 11,one or two sentence explanation a user could understand,short safe recommendation,5.383,0,TRUE,FALSE,
R006,SEC_017,SEC,Firewall settings viewed and left unchanged,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,settings_viewed;no_security_change,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.243,0,TRUE,TRUE,
R007,PERSIST_012,PERSIST,Scheduled task created after controlled file download,abnormal,abnormal,TRUE,TP,,high,critical,FALSE,0.0,scheduled_task_change = true,file_download;scheduled_task_created,SEC_003; PERSIST_002; SEC_004,17; 16; 14,"A scheduled task was created or modified without a clear benign explanation, indicating potential malicious persistence.",Investigate the scheduled task for suspicious activity and consider restoring system to a known safe state.,5.389,0,TRUE,TRUE,
R008,USB_016,USB,Authorised USB used to view a normal text file only,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,one or two sentence explanation a user could understand,short safe recommendation,5.047,0,TRUE,FALSE,
R009,NET_015,NET,Private network used for normal browsing activity,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,private_network;browser_activity,NET_001; NORMAL_003; NORMAL_001,17; 17; 11,one or two sentence explanation a user could understand,short safe recommendation,5.054,0,TRUE,FALSE,
R010,NORMAL_012,NORMAL,Normal opening and closing of common applications,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; normal_network_activity; no_additional_risky_activity,normal_app_activity,NET_001; NORMAL_003; NET_002,16; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity is normal.,5.547,0,TRUE,TRUE,
R011,PROC_005,PROC,PowerShell used to list local processes,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.5,powershell_activity; process_listing_context,powershell_activity;process_enumeration,PROC_001; SEC_003; PROC_005,20; 20; 18,"The user ran a PowerShell command to list processes, but the context shows that Microsoft Defender real-time protection is disabled. This combination of basic command-line use and security weakening raises the risk level.",Enable Microsoft Defender real-time protection immediately.,6.189,0,TRUE,TRUE,
R012,SEC_003,SEC,Firewall settings viewed with no changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,settings_viewed;no_security_change,NET_001; NORMAL_003; PROC_001,16; 16; 15,The device is operating on a private network and showing basic command-line activity without any risky co-signal.,No action needed; this behavior appears normal.,5.658,0,TRUE,TRUE,
R013,SEC_015,SEC,Windows Security opened and viewed without making changes,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,settings_viewed,NET_001; NORMAL_003; SEC_001,18; 18; 17,one or two sentence explanation a user could understand,short safe recommendation,5.21,0,TRUE,FALSE,
R014,PERSIST_004,PERSIST,Startup apps viewed only,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,startup_items_viewed;no_persistence_change,PERSIST_004; NET_001; NORMAL_004,18; 17; 17,one or two sentence explanation a user could understand,short safe recommendation,5.555,0,TRUE,FALSE,
R015,AUTH_006,AUTH,Repeated failed login attempts in short time,abnormal,abnormal,TRUE,TP,,high,medium,FALSE,0.0,failed_login_activity: true; failed_login_count_band: high; network_context: private,repeated_failed_logins,AUTH_004; NORMAL_003; AUTH_003,24; 20; 17,"The device has a high number of failed login attempts, which is an abnormal authentication signal. This activity occurs on a private network but the count alone indicates potential automated guessing.",Investigate for brute-force attacks and consider implementing multi-factor authentication.,6.448,0,TRUE,TRUE,
R016,SEC_014,SEC,Multiple security control changes performed and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.333,defender_disabled: true,defender_configuration_changed;defender_disabled;security_setting_restored,SEC_003; PERSIST_005; SEC_004,22; 15; 15,"Defender real-time protection is disabled, which removes a key defense layer and indicates high-risk behavior.",Investigate the reason for disabling Defender and consider restoring real-time protection.,5.568,0,TRUE,TRUE,
R017,SEC_016,SEC,Defender status viewed and left enabled,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,settings_viewed;defender_enabled,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network and showing basic command-line use without any risky co-signal.,No action needed; this activity appears normal.,5.36,0,TRUE,TRUE,
R018,SEC_005,SEC,Defender real-time protection temporarily disabled and restored,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.5,defender_disabled,defender_disabled;security_setting_restored,SEC_003; PROC_005; AUTH_005,31; 19; 18,"Defender real-time protection is disabled, which removes a key defense layer and indicates high-risk behavior.",Enable Microsoft Defender real-time protection immediately.,5.435,0,TRUE,TRUE,
R019,USB_002,USB,Authorised USB inserted and folder viewed,normal or risky,normal,FALSE,UNSCORED,,"low, medium, high, or critical",low,FALSE,0.0,indicator_1; indicator_2,authorised_usb;usb_files_viewed,NET_001; NORMAL_003; USB_002,16; 16; 9,one or two sentence explanation a user could understand,short safe recommendation,5.077,0,TRUE,FALSE,
R020,AUTH_015,AUTH,Successful login with no failed attempts,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; basic_command_use; no_additional_risky_activity,successful_login,NET_001; NORMAL_003; PROC_001,16; 16; 9,The device is operating on a private network with basic command-line use and no risky co-signal.,No action needed; this activity appears normal.,5.352,0,TRUE,TRUE,
R021,NET_004,NET,Wi-Fi or network settings viewed without changes,normal,normal,TRUE,TN,,low,low,TRUE,0.0,private_network; no_additional_risky_activity,network_profile_viewed;settings_viewed,NET_001; NORMAL_003; NET_002,17; 16; 8,"The device is operating on a private network with no risky co-signal, indicating ordinary connectivity and browsing.",No action needed; this activity appears normal.,5.228,0,TRUE,TRUE,
R022,PROC_007,PROC,PowerShell script run from local test folder,abnormal,abnormal,TRUE,TP,,medium,high,FALSE,1.0,script_execution; powershell_activity,script_execution,PROC_003; PROC_001; NET_001,28; 22; 19,"A PowerShell script was executed, but it lacks a clear context or explanation.",Investigate the source and purpose of the test_script.ps1 execution.,5.873,0,TRUE,TRUE,
R023,PROC_003,PROC,Windows Terminal opened for normal command use,normal,normal,TRUE,TN,,low,low,TRUE,0.5,private_network; basic_command_use; no_additional_risky_activity,terminal_activity;basic_command_use,NET_001; NORMAL_003; PROC_001,17; 17; 15,The device is operating on a private network and has opened PowerShell or Command Prompt but only for basic commands without any script execution or suspicious patterns.,No action needed; this activity appears to be normal.,5.559,0,TRUE,TRUE,
R024,PROC_010,PROC,Nmap scan run against local authorised test target,abnormal,abnormal,TRUE,TP,,high,high,TRUE,0.333,command_activity: local_network_scan; scanner_tool: nmap,network_scanner_activity;network_scan;authorised_local_target,PROC_001; NET_001; NORMAL_003,19; 18; 18,"The execution of a network scan using Nmap indicates potential reconnaissance or unauthorized probing, which is abnormal and risky.",Investigate the source and purpose of the network scan. Check for any suspicious activity associated with the processes involved.,6.273,0,TRUE,TRUE,
